"job_id","job_title","job_location","salary_year_avg","company_name","skills"
338520,"Digital Data Specialist","Bogotá, Bogota, Colombia","109500.0","Publicis Groupe","tableau"
338520,"Digital Data Specialist","Bogotá, Bogota, Colombia","109500.0","Publicis Groupe","power bi"
492240,"Growth Data Manager","Bogotá, Bogota, Colombia","105650.0","Publicis Groupe","spark"
104967,"Data Analyst","Bogotá, Bogota, Colombia","100500.0","Sutherland","excel"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","sql"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","python"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","r"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","bigquery"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","snowflake"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","jupyter"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","excel"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","tableau"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","power bi"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","powerpoint"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","jira"
483568,"Data Analytics Associate Director","Bogotá, Bogota, Colombia","93600.0","Publicis Groupe","confluence"
406183,"Data Analyst","Bogotá, Bogota, Colombia","90000.0","minka_","sql"
406183,"Data Analyst","Bogotá, Bogota, Colombia","90000.0","minka_","sas"
406183,"Data Analyst","Bogotá, Bogota, Colombia","90000.0","minka_","javascript"
406183,"Data Analyst","Bogotá, Bogota, Colombia","90000.0","minka_","excel"
406183,"Data Analyst","Bogotá, Bogota, Colombia","90000.0","minka_","sas"
406183,"Data Analyst","Bogotá, Bogota, Colombia","90000.0","minka_","spss"
1661,"Data Analytics Lead -  PGD-10633","Bogotá, Bogota, Colombia","79200.0","Publicis Groupe","sql"
1661,"Data Analytics Lead -  PGD-10633","Bogotá, Bogota, Colombia","79200.0","Publicis Groupe","tableau"
164513,"Digital Data Science & Analytics Manager","Bogotá, Bogota, Colombia","79200.0","Publicis Groupe","excel"
